year,month,global_average_sea_level_change,global_average_sea_level_change_upper,global_average_sea_level_change_lower,glac_mean,glac_upper,glac_lower,GrIS_mean,GrIS_upper,GrIS_lower,AIS_mean,AIS_upper,AIS_lower,tws_mean,tws_upper,tws_lower,global_average_thermosteric_sea_level_change,global_average_thermosteric_sea_level_change_upper,global_average_thermosteric_sea_level_change_lower,sum_of_contrib_processes_mean,sum_of_contrib_processes_upper,sum_of_contrib_processes_lower
1900,1,-164.59832839965821,-133.95266723632812,-193.3794319152832,-75.57601814270019,-59.375,-90.725,-45.66120872497559,-35.530001449584965,-55.85999927520753,-9.020110368728638,-3.13499995470047,-15.34249963760376,11.710488414764404,20.70999927520752,2.65999995470047,-45.865382766723634,-35.67527523040771,-55.73299388885498,-164.4362648010254,-139.41763153076172,-189.26651000976562
1900,2,-158.25652107179204,-128.79160627704607,-185.92871774155722,-72.66415050511053,-57.087341226347256,-87.22945739385861,-43.90192847646561,-34.16106638358012,-53.707769928880545,-8.672574627687153,-3.0142115731969503,-14.751368624454653,11.259295125235232,19.912063922882965,2.5575128433861725,-44.09823589862702,-34.300742912372876,-53.585657931772474,-158.1007016199096,-134.04601101752834,-181.97426256248184
1900,3,-155.9352584838867,-126.90252685546875,-183.20156707763672,-71.59833297729492,-56.25,-85.95,-43.25798721313477,-33.660001373291024,-52.9199993133545,-8.54536771774292,-2.9699999570846556,-14.534999656677247,11.094146919250488,19.61999931335449,2.519999957084656,-43.45141525268555,-33.79762916564941,-52.79967842102051,-155.78172454833984,-132.07986145019532,-179.30511474609375
1900,4,-158.25652107179204,-128.79160627704607,-185.92871774155722,-72.66415050511053,-57.087341226347256,-87.22945739385861,-43.90192847646561,-34.16106638358012,-53.70776992888055,-8.672574627687153,-3.0142115731969503,-14.751368624454653,11.259295125235232,19.912063922882965,2.5575128433861725,-44.09823589862702,-34.300742912372876,-53.585657931772474,-158.1007016199096,-134.04601101752834,-181.97426256248184
1900,5,-164.59832839965821,-133.95266723632812,-193.3794319152832,-75.57601814270019,-59.375,-90.725,-45.66120872497559,-35.530001449584965,-55.85999927520753,-9.020110368728638,-3.13499995470047,-15.34249963760376,11.710488414764404,20.70999927520752,2.65999995470047,-45.865382766723634,-35.67527523040771,-55.73299388885498,-164.4362648010254,-139.41763153076172,-189.26651000976562
1900,6,-173.2613983154297,-141.0028076171875,-203.5572967529297,-79.55370330810547,-62.5,-95.5,-48.064430236816406,-37.40000152587891,-58.799999237060554,-9.494853019714355,-3.299999952316284,-16.149999618530273,12.32682991027832,21.799999237060547,2.799999952316284,-48.27935028076172,-37.552921295166016,-58.66630935668945,-173.09080505371094,-146.75540161132812,-199.2279052734375
1900,7,-181.92446823120116,-148.05294799804688,-213.73516159057618,-83.53138847351075,-65.625,-100.275,-50.467651748657225,-39.27000160217286,-61.73999919891358,-9.969595670700073,-3.4649999499320985,-16.95749959945679,12.943171405792237,22.889999198913575,2.9399999499320986,-50.6933177947998,-39.43056735992432,-61.59962482452393,-181.74534530639647,-154.09317169189453,-209.18930053710938
1900,8,-188.26627555906734,-153.21400895732893,-221.18587576430215,-86.44325611110041,-67.91265877365274,-103.77054260614139,-52.2269319971672,-40.638936668177706,-63.892228545240556,-10.317131411741558,-3.585788331435618,-17.548630612605894,13.394364695321409,23.68793455123813,3.042487061246396,-52.46046466289642,-40.805099677959156,-63.74696078160643,-188.0809084875123,-159.4647922051279,-216.48154798439316
1900,9,-190.58753814697266,-155.10308837890625,-223.91302642822265,-87.50907363891602,-68.75,-105.05,-52.870873260498044,-41.1400016784668,-64.67999916076661,-10.444338321685791,-3.6299999475479128,-17.7649995803833,13.559512901306153,23.979999160766603,3.0799999475479125,-53.10728530883789,-41.30821342468262,-64.5329402923584,-190.39988555908204,-161.43094177246093,-219.15069580078125
1900,10,-188.26627555906734,-153.21400895732893,-221.18587576430215,-86.44325611110041,-67.91265877365274,-103.77054260614139,-52.2269319971672,-40.638936668177706,-63.89222854524056,-10.317131411741558,-3.585788331435618,-17.548630612605894,13.394364695321409,23.68793455123813,3.042487061246396,-52.46046466289642,-40.805099677959156,-63.74696078160643,-188.0809084875123,-159.4647922051279,-216.48154798439316
1900,11,-181.92446823120116,-148.05294799804688,-213.73516159057618,-83.53138847351075,-65.625,-100.275,-50.467651748657225,-39.27000160217286,-61.73999919891358,-9.969595670700073,-3.4649999499320985,-16.95749959945679,12.943171405792237,22.889999198913575,2.9399999499320986,-50.6933177947998,-39.43056735992432,-61.59962482452393,-181.74534530639647,-154.09317169189453,-209.18930053710938
1900,12,-173.2613983154297,-141.0028076171875,-203.5572967529297,-79.55370330810547,-62.5,-95.5,-48.064430236816406,-37.40000152587891,-58.799999237060554,-9.494853019714355,-3.299999952316284,-16.149999618530273,12.32682991027832,21.799999237060547,2.799999952316284,-48.27935028076172,-37.552921295166016,-58.66630935668945,-173.09080505371094,-146.75540161132812,-199.2279052734375
